Skip to content
Georgia Sheriffs' Association
Renew Membership
Donate
About
Membership & Donation
Programs & Resources
Law Enforcement
Sheriffs Only
Search for:
Sheriffs by County
County	Sheriff	Address	Phone Number
APPLING	Sheriff Mark Melton	560 Barnes Street, Suite B, Baxley, GA 31513	912-367-8120
ATKINSON	Sheriff David Moore	PO Box 157, Pearson, GA 31642	912-422-3611
BACON	Sheriff Andy Batten	307 Dixon Street, Alma, GA 31510	912-632-2658
BAKER	Sheriff Dana Meade	PO Box 441, Newton, GA 39870	229-734-3003
BALDWIN	Sheriff William Massee, Jr.	PO Box 830, Milledgeville, GA 31059	478-445-5823
BANKS	Sheriff Carlton Speed	160 Windmill Farm Road, Homer, GA 30547	706-677-2248
BARROW	Sheriff Jud Smith	233 East Broad Street, Winder, GA 30680	770-307-3080
BARTOW	Sheriff Clark Millsap	104 Zena Drive, Cartersville, GA 30121	770-382-5050
BEN HILL	Sheriff Lee Cone	PO Box 738, Fitzgerald, GA 31750	229-426-5161
BERRIEN	Sheriff Ray Paulk	500 County Farm Road, Nashville, GA 31639	229-686-7071
BIBB	Sheriff David J. Davis	PO Box 930, Macon, GA 31202	478-621-5629
BLECKLEY	Sheriff Daniel Cape	345 Hwy 87 Bypass N, Cochran, GA 31014	478-934-4545
BRANTLEY	Sheriff Len Davis	PO Box 251, Nahunta, GA 31553	912-462-6141
BROOKS	Sheriff Mike Dewey	1004 Holloway Drive, Quitman, GA 31643	229-263-9323
BRYAN	Sheriff Mark Crowe	95 Sgt. Robert W. Crapse Drive, Pembroke, GA 31321	912-653-3800
BULLOCH	Sheriff Noel Brown	17257 US Hwy 301 N, Statesboro, GA 30458	912-764-8888
BURKE	Sheriff Alfonzo Williams	PO Box 702, Waynesboro, GA 30830	706-554-2133
BUTTS	Sheriff Gary Long	835 Ernest Biles Drive, Jackson, GA 30233	770-775-8216
CALHOUN	Sheriff Josh Hilton	PO Box 211, Morgan, GA 39866	229-849-2555
CAMDEN	Sheriff Kevin Chaney	PO Box 699, Woodbine, GA 31569	912-510-5100
CANDLER	Sheriff John Miles	PO Box 693, Metter, GA 30439	912-685-2568
CARROLL	Sheriff Terry Langley	1000 Newnan Road, Carrollton, GA 30116	770-830-5915
CATOOSA	Sheriff Gary Sisk	PO Box 909, Ringgold, GA 30736	706-935-2424
CHARLTON	Sheriff Robert Phillips	1548 Third Street, Folkston, GA 31537	912-496-7321
CHATHAM	Sheriff Richard Coleman	PO Box 10026, Savannah, GA 31412	912-652-7600
CHATTAHOOCHEE	Sheriff Henry Lynch III	PO Box 124, Cusseta, GA 31805	706-989-3644
CHATTOOGA	Sheriff Mark Schrader	533 Underwood Drive, Trion, GA 30753	706-857-3411
CHEROKEE	Sheriff Frank Reynolds	498 Chattin Drive, Canton, GA 30115	678-493-4200
CLARKE	Sheriff John Williams	325 E Washington Street, Suite 100, Athens, GA 30601	706-613-3250
CLAY	Sheriff Locke Shivers	124 Thomas Street, Suite 1, Fort Gaines, GA 39851	229-768-2505
CLAYTON	Sheriff Levon Allen	9157 Tara Blvd, Jonesboro, GA 30236	770-477-4469
CLINCH	Sheriff Raymond Peterson	115 Court Square, Homerville, GA 31634	912-487-5316
COBB	Sheriff Craig Owens	185 Roswell Street, Marietta, GA 30090	770-499-4611
COFFEE	Sheriff Fred Cole	825 Thompson Drive, Douglas, GA 31535	912-384-4227
COLQUITT	Sheriff Rod Howell	PO Box 188, Moultrie, GA 31776	229-616-7430
COLUMBIA	Sheriff Clay Whittle	PO Box 310, Appling, GA 30802-0310	706-541-1043
COOK	Sheriff Douglas Hanks	1000 County Farm Road, Adel, GA 31620	229-896-7471
COWETA	Sheriff Lenn Wood	560 Greison Trail, Newnan, GA 30263	770-253-1502
CRAWFORD	Sheriff Lewis Walker	PO Box 1009, Roberta, GA 31078	478-836-3116
CRISP	Sheriff Billy Hancock	196 GA Highway 300, Cordele, GA 31015	229-276-2600
DADE	Sheriff Ray Cross	75 Case Avenue, Trenton, GA 30752	706-657-3233
DAWSON	Sheriff Jeff Johnson	19 Tucker Avenue, Dawsonville, GA 30534	706-344-3535
DECATUR	Sheriff Wiley Griffin	912 Spring Creek Road, Bainbridge, GA 39817	229-248-3044
DEKALB	Sheriff Melody Maddox	4415 Memorial Drive, Decatur, GA 30032	404-298-8111
