"abundance","exp_mass","RT","formula","class","group","C","H","O","N","S","P","E","S34","N15","D","Cl","Fl","Cl37","Br","Br81","I","M","NH4","POE","NOE","Z","neutral_mass","theor_mass","err_ppm","AE_ppm","NM","KM","KMD","DBE","O_C","H_C","DBEO","max_LA","actual_LA","rule_13","max_H","H_test","C13_mass","C13_abund","C13_RT","C13_mass2","C13_abund2","C13_RT2","S34_mass","S34_abund","S34_RT","tag"
5253.14982789842,145.029160712015,3.22236666666667,"C9H6O2","O2","CHO",9,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,146.036437164175,145.02950298384,-2.34374264147529,2.34,145,144.867219855534,0.132780144466381,7,0.222222222222222,0.666666666666667,5,11.2335984181538,11,1,20,0.3,0,0,0,0,0,0,0,0,0,"Unambiguous"
10751.9639352485,147.04494048141,3.89506666666667,"C9H8O2","O2","CHO",9,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,148.05221693357,147.04515304764,-1.43575175285282,1.44,147,146.88074878723,0.119251212769996,6,0.222222222222222,0.888888888888889,4,11.3886484230615,11,1,20,0.4,0,0,0,0,0,0,0,0,0,"Unambiguous"
5751.59839779454,147.117501270222,8.21256666666667,"C11H16","","CH",11,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,148.124777722382,147.11792405824,-2.85426938356027,2.85,147,146.953228554017,0.0467714459830404,4,0,1.45454545454545,4,11.3942461931077,11,1,24,0.7,0,0,0,0,0,0,0,0,0,"Unambiguous"
81131.6673775835,149.024303942303,9.21415,"C8H6O3","O3","CHO",8,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.031580394463,149.02441760614,-0.757599411401701,0.76,149,148.8579020732,0.142097926800261,6,0.375,0.75,3,11.5408995429462,11,1,18,0.3,0,0,0,0,0,0,0,0,0,"Unambiguous"
210564.771941532,151.076096335423,3.61291666666667,"C9H12O2","O2","CHO",9,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,152.083372787583,151.07645317524,-2.34634339359606,2.35,151,150.907403416604,0.0925965833963005,4,0.222222222222222,1.33333333333333,2,11.6987484328769,11,0.9,20,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous"
31332.6092613458,151.076154646094,3.8069,"C9H12O2","O2","CHO",9,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,152.083431098254,151.07645317524,-1.96293010907107,1.96,151,150.907461662165,0.0925383378354923,4,0.222222222222222,1.33333333333333,2,11.6987484328769,11,0.9,20,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous"
14967.4503652531,155.034768920916,3.59528333333333,"C7H8O4","O4","CHO",7,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,156.042045373076,155.03498229224,-1.36739635442412,1.37,155,154.861655712923,0.138344287077388,4,0.571428571428571,1.14285714285714,0,12.0032506726462,11,0.9,16,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
16701.3293033441,155.034779446648,1.21935,"C7H8O4","O4","CHO",7,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,156.042055898808,155.03498229224,-1.29994180618283,1.3,155,154.861666226901,0.138333773098509,4,0.571428571428571,1.14285714285714,0,12.0032506726462,11,0.9,16,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
17107.4405041613,157.065551968099,4.12693333333333,"C11H10O","O","CHO",11,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,158.072828420259,157.06588848914,-2.12889871323235,2.13,157,156.890171169613,0.109828830387045,7,0.0909090909090909,0.909090909090909,6,12.1594742262538,12,1,24,0.4,0,0,0,0,0,0,0,0,0,"Unambiguous"
84283.2348775166,161.060667655054,3.754,"C10H10O2","O2","CHO",10,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,162.067944107214,161.06080311144,-0.835799989633684,0.84,161,160.880825874701,0.119174125298798,6,0.2,1,4,12.4667753510462,12,1,22,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
