"exp_mass","abundance","RT","formula","class","group","C","H","O","N","S","P","E","S34","N15","D","Cl","Fl","Cl37","Br","Br81","I","M","NH4","POE","NOE","Z","neutral_mass","theor_mass","err_ppm","AE_ppm","NM","KM","KMD","DBE","O_C","H_C","DBEO","max_LA","actual_LA","rule_13","max_H","H_test","C13_mass","C13_abund","C13_RT","C13_mass2","C13_abund2","C13_RT2","S34_mass","S34_abund","S34_RT","tag","SNR","n_abundance"
289.142806689407,4791.43831067442,4.31208333333333,"C17H20O4","O4","CHO",17,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,288.135530237247,289.14343557936,-2.18261854993438,2.18,289,288.819947248376,0.18005275162443,8,0.235294117647059,1.17647058823529,4,22.1643199328615,21,0.9,36,0.6,0,0,0,0,0,0,0,0,0,"Ambiguous",6.35433906243466,0.000446203896337737
289.142806689407,4791.43831067442,4.31208333333333,"C11H21N4O3P","N4O3P","CHNOP",11,21,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,288.135530237247,289.14240350856,1.3992750095736,1.4,289,288.819947248376,0.18005275162443,4,0.272727272727273,1.90909090909091,1,22.1642405428,19,0.9,24,0.9,0,0,0,0,0,0,0,0,0,"Ambiguous",6.35433906243466,0.000446203896337737
295.077491418779,13953.5913511785,4.35618333333333,"C11H21O3P3","O3P3","CHOP",11,21,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,294.070214966619,295.07763045896,-0.472812864196991,0.47,295,294.748005255761,0.251994744238687,3,0.272727272727273,1.90909090909091,0,22.6207964620615,17,0.8,24,0.9,0,0,0,0,0,0,0,0,0,"Ambiguous",18.505059407008,0.00129943169985716
295.077491418779,13953.5913511785,4.35618333333333,"C9H14N2O9","N2O9","CHNO",9,14,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,294.070214966619,295.07720651426,0.968831608733198,0.97,295,294.748005255761,0.251994744238687,4,1,1.55555555555556,-5,22.6207638509308,20,0.9,20,0.7,0,0,0,0,0,0,0,0,0,"Ambiguous",18.505059407008,0.00129943169985716
298.165653625732,26433.4057669275,3.92151666666667,"C16H19N5O","N5O","CHNO",16,19,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,297.158377173572,298.16623671756,-1.9622257798525,1.96,298,297.832719193205,0.167280806795134,10,0.0625,1.1875,9,22.8583815588769,22,1,34,0.6,0,0,0,0,0,0,0,0,0,"Ambiguous",35.0556162736719,0.00246161755237527
298.165653625732,26433.4057669275,3.92151666666667,"C15H23NO5","NO5","CHNO",15,23,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,297.158377173572,298.16489930476,2.53844760743782,2.54,298,297.832719193205,0.167280806795134,5,0.333333333333333,1.53333333333333,0,22.8582786809692,21,0.9,32,0.7,0,0,0,0,0,0,0,0,0,"Ambiguous",35.0556162736719,0.00246161755237527
301.071084001076,214580.178160273,6.70581666666667,"C16H12O6","O6","CHO",16,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,300.063807548916,301.07066456876,1.39781041693407,1.4,301,300.734905339036,0.265094660963825,11,0.375,0.75,5,23.0817990858923,22,1,34,0.4,0,0,0,0,0,0,0,0,0,"Ambiguous",284.573257485202,0.0199828329958156
301.071084001076,214580.178160273,6.70581666666667,"C8H18N2O6P2","N2O6P2","CHNOP",8,18,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,300.063807548916,301.07128575496,-0.67236993935605,0.67,301,300.734905339036,0.265094660963825,2,0.75,2.25,-4,23.0818468694462,18,0.8,18,1,0,0,0,0,0,0,0,0,0,"Ambiguous",284.573257485202,0.0199828329958156
303.050502319123,17602.2101685201,6.35933333333333,"C15H10O7","O7","CHO",15,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,302.043225866963,303.04992912726,1.89771467628348,1.9,303,302.712113420906,0.287886579094391,11,0.466666666666667,0.666666666666667,4,23.2340502057769,22,0.9,32,0.3,0,0,0,0,0,0,0,0,0,"Ambiguous",23.3438071006425,0.00163921024379084
303.050502319123,17602.2101685201,6.35933333333333,"C7H16N2O7P2","N2O7P2","CHNOP",7,16,7,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,302.043225866963,303.05055031346,-0.158898903572104,0.16,303,302.712113420906,0.287886579094391,2,1,2.28571428571429,-5,23.2340979893308,18,0.8,16,1,0,0,0,0,0,0,0,0,0,"Ambiguous",23.3438071006425,0.00163921024379084
303.050502319123,17602.2101685201,6.35933333333333,"C16H6N4O3","N4O3","CHNO",16,6,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,302.043225866963,303.05126654006,-2.53017075691405,2.53,303,302.712113420906,0.287886579094391,16,0.1875,0.375,13,23.2341530836846,23,1,34,0.2,0,0,0,0,0,0,0,0,0,"Ambiguous",23.3438071006425,0.00163921024379084
303.050506899969,16903.2393767806,5.9952,"C7H16N2O7P2","N2O7P2","CHNOP",7,16,7,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,302.043230447809,303.05055031346,-0.143732705112328,0.14,303,302.712117996637,0.28788200336254,2,1,2.28571428571429,-5,23.2340979893308,18,0.8,16,1,0,0,0,0,0,0,0,0,0,"Ambiguous",22.4168417266844,0.0015741184132218
303.050506899969,16903.2393767806,5.9952,"C16H6N4O3","N4O3","CHNO",16,6,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,302.043230447809,303.05126654006,-2.5150045224911,2.52,303,302.712117996637,0.28788200336254,16,0.1875,0.375,13,23.2341530836846,23,1,34,0.2,0,0,0,0,0,0,0,0,0,"Ambiguous",22.4168417266844,0.0015741184132218
303.050506899969,16903.2393767806,5.9952,"C15H10O7","O7","CHO",15,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,302.043230447809,303.04992912726,1.91288084355226,1.91,303,302.712117996637,0.28788200336254,11,0.466666666666667,0.666666666666667,4,23.2340502057769,22,0.9,32,0.3,0,0,0,0,0,0,0,0,0,"Ambiguous",22.4168417266844,0.0015741184132218
303.050564349812,757820.941920135,5.13733333333333,"C16H6N4O3","N4O3","CHNO",16,6,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,302.043287897652,303.05126654006,-2.32480003969337,2.32,303,302.712175382331,0.287824617668662,16,0.1875,0.375,13,23.2341530836846,23,1,34,0.2,0,0,0,0,0,0,0,0,0,"Ambiguous",1005.01162726988,0.0705722655883474
303.050564349812,757820.941920135,5.13733333333333,"C15H10O7","O7","CHO",15,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,302.043287897652,303.04992912726,2.10308448414845,2.1,303,302.712175382331,0.287824617668662,11,0.466666666666667,0.666666666666667,4,23.2340502057769,22,0.9,32,0.3,0,0,0,0,0,0,0,0,0,"Ambiguous",1005.01162726988,0.0705722655883474
