"exp_mass","abundance","RT","formula","class","group","C","H","O","N","S","P","E","S34","N15","D","Cl","Fl","Cl37","Br","Br81","I","M","NH4","POE","NOE","Z","neutral_mass","theor_mass","err_ppm","AE_ppm","NM","KM","KMD","DBE","O_C","H_C","DBEO","max_LA","actual_LA","rule_13","max_H","H_test","C13_mass","C13_abund","C13_RT","C13_mass2","C13_abund2","C13_RT2","S34_mass","S34_abund","S34_RT","tag","SNR","n_abundance","charge"
335.12664578313,8552172.01540284,8.70895,"C15H19N4O3P","N4O3P","CHNOP",15,19,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,334.11936933097,335.12675344476,-0.322225049081077,0.32,335,334.752440376566,0.247559623433972,9,0.2,1.26666666666667,6,25.7014982302,23,0.9,32,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous",11341.7719654384,0.796423167323671,1
427.377840460571,8056351.4248072,12.4480333333333,"C26H50O4","O4","CHO",26,50,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,426.370564008411,427.37818653636,-0.811678427731255,0.81,427,426.900626545896,0.0993734541036133,2,0.153846153846154,1.92307692307692,-2,32.7977623141692,30,0.9,54,0.9,0,0,0,0,0,0,0,0,0,"Unambiguous",10684.2215719037,0.750249750269469,1
766.691686627156,8008244.80036272,11.3319,"C47H91NO6","NO6","CHNO",47,91,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,765.684410174996,766.69191609626,-0.29969149226272,0.3,766,765.835591840563,0.164408159436789,3,0.127659574468085,1.93617021276596,-3,58.8988184341615,54,0.9,96,0.9,0,0,0,0,0,0,0,0,0,"Unambiguous",10620.4232334824,0.745769808783222,1
740.674928251009,7740285.27126481,11.4024333333333,"C45H89NO6","NO6","CHNO",45,89,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,739.667651798849,740.67626603246,-1.80862506024749,1.81,740,739.847884009241,0.15211599075883,2,0.133333333333333,1.97777777777778,-4,56.8976145831,52,0.9,92,1,0,0,0,0,0,0,0,0,0,"Unambiguous",10265.059020798,0.720816010321924,1
319.132757096062,7610519.58840625,8.3272,"C21H18O3","O3","CHO",21,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,318.125480643902,319.13287089326,-0.357711674451075,0.36,319,318.776410608489,0.223589391511496,13,0.142857142857143,0.857142857142857,10,24.4711995723923,24,1,44,0.4,320.135578011552,16145.1121096241,3.4604,0,0,0,0,0,0,"Unambiguous",10092.9655711725,0.708731548507311,1
375.107783286847,4581474.21434792,6.6,"C19H18O8","O8","CHO",19,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,374.100506834687,375.10744400476,0.906927631633748,0.91,375,374.688934584971,0.311065415028679,11,0.421052631578947,0.947368421052632,3,28.7769359655846,27,0.9,40,0.4,0,0,0,0,0,0,0,0,0,"Unambiguous",6075.88758868325,0.426650937122296,1
595.165399035257,4237137.1073919,3.71871666666667,"C21H31N4O14P","N4O14P","CHNOP",21,31,14,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,594.158122583097,595.16471467286,1.15181863302627,1.15,595,594.500832033733,0.499167966266896,9,0.666666666666667,1.47619047619048,-5,45.7044183246692,40,0.9,44,0.7,596.169879908376,34060.4976764312,5.02008333333333,0,0,0,0,0,0,"Unambiguous",5619.23249108931,0.394584457536167,1
420.331629054994,3617003.3175582,10.2157166666667,"C22H45NO6","NO6","CHNO",22,45,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,419.324352602834,420.33196462886,-0.800272781437721,0.8,420,419.862283002923,0.137716997077121,1,0.272727272727273,2.04545454545455,-5,32.2557452443615,29,0.9,46,1,0,0,0,0,0,0,0,0,0,"Unambiguous",4796.81965611716,0.336834342574228,1
607.29044687037,3385100.29119919,11.14675,"C35H42O9","O9","CHO",35,42,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,606.28317041821,607.29015939266,0.474164093848499,0.47,607,606.612340932114,0.387659067886148,15,0.257142857142857,1.2,6,46.6371448415769,44,0.9,72,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous",4489.27307750276,0.315238314988236,1
331.082150778352,3263160.37550244,5.74831666666667,"C18H10N4O3","N4O3","CHNO",18,10,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,330.074874326192,331.08256666766,-1.2599847507955,1.26,331,330.712461491042,0.287538508957937,16,0.166666666666667,0.555555555555556,13,25.3904069396538,25,1,38,0.3,332.085298993327,117422.43370194,5.90703333333333,0,0,0,0,0,0,"Unambiguous",4327.55805179625,0.303882629706477,1
499.123209743134,3081549.16739993,4.44435,"C25H22O11","O11","CHO",25,22,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,498.115933290974,499.12348799926,-0.558617195258416,0.56,499,498.565884308176,0.434115691824388,15,0.44,0.88,4,38.3166316574692,36,0.9,52,0.4,0,0,0,0,0,0,0,0,0,"Unambiguous",4086.70778534269,0.286970040329418,1
662.586072906707,2846787.63125862,11.5258666666667,"C45H75NO2","NO2","CHNO",45,75,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,661.578796454547,662.58705709666,-1.48763829516318,1.49,662,661.84622337843,0.153776621569591,9,0.0444444444444444,1.66666666666667,7,50.8907523572692,48,0.9,92,0.8,0,0,0,0,0,0,0,0,0,"Unambiguous",3775.37029068341,0.265107813301864,1
593.274671882275,2684373.25511396,10.44495,"C34H40O9","O9","CHO",34,40,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,592.267395430115,593.27450932886,0.274459503507766,0.27,593,592.612216083582,0.38778391641813,15,0.264705882352941,1.17647058823529,6,45.5590179135923,43,0.9,70,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous",3559.97859664077,0.249982933723312,1
338.342038355963,2554317.27226257,11.5699666666667,"C22H43NO","NO","CHNO",22,43,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,337.334761903803,338.34174145356,0.880141737209657,0.88,338,337.964242613328,0.0357573866722873,2,0.0454545454545455,1.95454545454545,1,25.9488050001077,24,0.9,46,0.9,0,0,0,0,0,0,0,0,0,"Unambiguous",3387.50015518931,0.237871437648941,1
305.270239699204,2510832.22578181,8.96463333333333,"C18H32N4","N4","CHN",18,32,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,304.262963247044,305.26997350256,0.874890064582631,0.87,305,304.929372222398,0.0706277776022262,5,0,1.77777777777778,5,23.4048228500308,22,0.9,38,0.8,0,0,0,0,0,0,0,0,0,"Unambiguous",3329.83088939309,0.233821881771551,1
465.102459937502,2460039.60079581,4.55015,"C21H20O12","O12","CHO",21,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,464.095183485342,465.10275255776,-0.630517766193117,0.63,465,464.583122375703,0.416877624296944,12,0.571428571428571,0.952380952380952,0,35.6996520081231,33,0.9,44,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous",3262.47041429043,0.229091805810126,1
615.272135842361,1952739.07407541,9.6021,"C33H43O9P","O9P","CHOP",33,43,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,614.264859390201,615.27174591456,0.634787738510042,0.63,615,614.585117478893,0.414882521106506,13,0.272727272727273,1.3030303030303,4,47.2511130355692,43,0.9,68,0.6,616.276515277067,17136.7411415623,7.55486666666667,0,0,0,0,0,0,"Unambiguous",2589.69548861693,0.181849316820433,1
642.508448137711,1786010.31530026,11.4553333333333,"C40H67NO5","NO5","CHNO",40,67,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,641.501171685551,642.50920070836,-1.17313994522148,1.17,642,641.791017464616,0.208982535383825,8,0.125,1.675,3,49.3463018658615,46,0.9,82,0.8,0,0,0,0,0,0,0,0,0,"Unambiguous",2368.58212014135,0.166322659275602,1
717.599216565415,1762353.53560139,10.4008666666667,"C40H80N2O8","N2O8","CHNO",40,80,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,716.591940113255,717.59874399736,0.659466048614603,0.66,717,716.797938869465,0.202061130535185,2,0.2,2,-6,55.1224205804,50,0.9,82,1,0,0,0,0,0,0,0,0,0,"Unambiguous",2337.20882686591,0.16411961572333,1
279.159973612412,1502801.52318585,6.1389,"C17H18N4","N4","CHN",17,18,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,278.152697160252,279.16042305596,-1.61581588909387,1.62,279,278.848261091977,0.151738908022651,11,0,1.05882352941176,11,21.3963958926,21,1,36,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous",1992.99454624973,0.139948769365128,1
